날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2021-02-04,177,-1.6,-5.1,3.7
2021-02-05,177,1.8,-4.2,7.2
2021-02-06,177,7.3,1.3,9.7
2021-02-07,177,3.8,-1.1,9.3
2021-02-08,177,-1.4,-3.2,1
2021-02-09,177,-0.4,-7,5.8
2021-02-10,177,2.4,-4.3,8.4
2021-02-11,177,4.1,-0.9,10.9
2021-02-12,177,5,-1.7,15.2
2021-02-13,177,4.4,-3.1,15.2
2021-02-14,177,7.8,0.9,14
2021-02-15,177,1.9,-1.9,9.3
2021-02-16,177,-3.2,-6.1,1
2021-02-17,177,-6.1,-7.4,-4.8
2021-02-18,177,-3.8,-7.3,0.5
2021-02-19,177,2.5,-7.9,9.1
2021-02-20,177,10.4,5.5,17.2
2021-02-21,177,13,7,18.1
2021-02-22,177,9.4,1.1,16.5
2021-02-23,177,0.4,-3.8,5.5
2021-02-24,177,2.3,-2.6,9.2
2021-02-25,177,2.5,-2.8,7.1
2021-02-26,177,7.2,-0.4,14.9
2021-02-27,177,7.4,1.2,14.7
2021-02-28,177,6.7,-1.9,13
2021-03-01,177,5.9,2.1,8.5
2021-03-02,177,2.7,-0.8,7.2
2021-03-03,177,3.5,-2.8,9.9
2021-03-04,177,5.7,0.3,11.9
2021-03-05,177,6.8,-0.3,15.6
2021-03-06,177,6.4,2.6,13.3
2021-03-07,177,5.9,2.4,11
2021-03-08,177,4.8,-2.2,13.4
2021-03-09,177,5.5,-1.2,12.9
2021-03-10,177,6.5,-1.6,16.8
2021-03-11,177,8.2,0.2,16.5
2021-03-12,177,8.2,5.3,10.4
2021-03-13,177,8.1,1.5,15.7
2021-03-14,177,7.6,1.6,14.9
2021-03-15,177,10,0.7,17.5
2021-03-16,177,7.8,1.2,13.4
2021-03-17,177,6.5,-2.1,16.8
2021-03-18,177,8.9,0.9,18.8
2021-03-19,177,12.4,7.4,18.7
2021-03-20,177,8,5,11.5
2021-03-21,177,6.1,4.3,9.6
2021-03-22,177,6.6,1.9,11
2021-03-23,177,8.8,1.7,14.8
2021-03-24,177,10,2.2,16.5
2021-03-25,177,10.2,3.6,19.1
2021-03-26,177,10.9,3.4,20.3
2021-03-27,177,10.7,5.4,14.1
2021-03-28,177,9.1,7.9,13.1
2021-03-29,177,10.9,6.9,16.4
2021-03-30,177,10.2,2.8,17.8
2021-03-31,177,12.2,0.8,22.1
2021-04-01,177,14.5,4.8,21.6
2021-04-02,177,16.3,10.4,21.4
2021-04-03,177,14.9,13.4,16.2
2021-04-04,177,11.3,7.8,15.3
2021-04-05,177,11,5,17.2
2021-04-06,177,11.9,4.3,19.6
2021-04-07,177,12.7,4.1,20.8
2021-04-08,177,11.5,4.3,17.8
2021-04-09,177,11.4,1.4,19.2
2021-04-10,177,11.4,3.6,18.5
2021-04-11,177,13,3.6,22.6
2021-04-12,177,13,10.3,16.6
2021-04-13,177,9.6,5.6,14.6
2021-04-14,177,8.4,1.6,15
2021-04-15,177,10.1,2.6,18.3
2021-04-16,177,10.4,5.7,14.6
2021-04-17,177,8.8,2.1,15
2021-04-18,177,10.3,6.9,15.4
2021-04-19,177,11.9,4.8,18.9
2021-04-20,177,13.9,4.3,22.8
2021-04-21,177,16.6,7.2,27.9
2021-04-22,177,18.9,12.3,28
2021-04-23,177,19.1,15,22.8
2021-04-24,177,16.3,10.8,22.9
2021-04-25,177,16,7.5,24.3
2021-04-26,177,15.1,10.6,21.8
2021-04-27,177,14.5,8.5,19.3
2021-04-28,177,14.5,10.7,19.5
2021-04-29,177,13.8,9.2,18.8
2021-04-30,177,10.7,9,14.4
2021-05-01,177,10.6,8.7,13.8
2021-05-02,177,12.3,8,18.4
2021-05-03,177,12.9,4.7,20.6
2021-05-04,177,15.5,9.4,21.1
2021-05-05,177,14.1,9,18.9
2021-05-06,177,15.9,6.1,22
2021-05-07,177,14.9,10,18.7
2021-05-08,177,13.8,7.7,20.5
2021-05-09,177,14.9,7.6,22.1
2021-05-10,177,11.8,8.9,13.9
2021-05-11,177,17.2,12.3,23
2021-05-12,177,20.2,14.9,26.4
2021-05-13,177,20.9,13,28.7
2021-05-14,177,20.9,14.7,29.2
2021-05-15,177,20.8,18.1,25.2
2021-05-16,177,19.2,16,21.5
2021-05-17,177,15.7,14.7,16.9
2021-05-18,177,17.2,13.4,23.7
2021-05-19,177,19.2,10.7,27.1
2021-05-20,177,16.9,15.1,21.9
2021-05-21,177,14.8,12.7,16.8
2021-05-22,177,17.4,11.5,24.5
2021-05-23,177,18.5,11.8,25.1
2021-05-24,177,18.4,14.1,24.6
2021-05-25,177,15.9,12.7,19.8
2021-05-26,177,18,12.5,24
2021-05-27,177,15.9,12.8,18.9
2021-05-28,177,15.1,11.9,21
2021-05-29,177,17.8,12.5,23.7
2021-05-30,177,18.7,12.1,27.3
2021-05-31,177,19.2,15.5,24.5
2021-06-01,177,20.8,14.5,26.8
2021-06-02,177,23,15.8,29.7
2021-06-03,177,18.3,14.5,20.9
2021-06-04,177,18.1,13.2,22.9
2021-06-05,177,20.3,17.1,23.8
2021-06-06,177,21.5,17.8,25.8
2021-06-07,177,22.1,15.5,28
2021-06-08,177,23.2,17.5,29.1
2021-06-09,177,25.1,18.3,32.1
2021-06-10,177,24.1,20.7,30.4
2021-06-11,177,22.6,19.7,27.3
2021-06-12,177,22.7,17.5,29.1
2021-06-13,177,22.6,18.9,29.7
2021-06-14,177,22.5,18.2,28.1
2021-06-15,177,22.3,20.6,24.6
2021-06-16,177,24.2,20.4,28.2
2021-06-17,177,21.1,19.8,24.3
2021-06-18,177,20,19.4,21
2021-06-19,177,21.9,18.1,27.2
2021-06-20,177,22.6,16.3,29.2
2021-06-21,177,23.2,18.3,29.1
2021-06-22,177,22.5,18.1,28.3
2021-06-23,177,20.3,18.7,24.1
2021-06-24,177,22.1,18.7,26.1
2021-06-25,177,23,17.3,28.4
2021-06-26,177,23.2,20.6,26.8
2021-06-27,177,23.7,18.4,29.1
2021-06-28,177,23.3,20.8,28.4
2021-06-29,177,23.2,19.6,27.6
2021-06-30,177,23.9,20,29.5
2021-07-01,177,25.1,19.9,30.8
2021-07-02,177,25.8,21.4,30.9
2021-07-03,177,23.1,21.4,26.8
2021-07-04,177,21.8,20.6,25.1
2021-07-05,177,22.8,19.5,26.5
2021-07-06,177,23.7,20.4,27.7
2021-07-07,177,25.2,22.6,28
2021-07-08,177,25.2,22.5,29
2021-07-09,177,25,22.5,30
2021-07-10,177,25.6,23.1,28.9
2021-07-11,177,25.5,22.4,28.5
2021-07-12,177,27.6,23.9,32.7
2021-07-13,177,27.5,23.6,31.8
2021-07-14,177,27.7,23.5,31.9
2021-07-15,177,27.8,23.2,32.8
2021-07-16,177,26.7,22.3,32.9
2021-07-17,177,25.5,21.4,31.4
2021-07-18,177,25.8,22,32
2021-07-19,177,26,22.1,30.8
2021-07-20,177,27.4,22.7,32.1
2021-07-21,177,28.5,23.1,34.7
2021-07-22,177,28,22.1,34.3
2021-07-23,177,28.2,22.5,34.8
2021-07-24,177,28.5,23.3,34.7
2021-07-25,177,28,23.1,32.9
2021-07-26,177,28.2,22.7,33.7
2021-07-27,177,28.5,22.5,34.7
2021-07-28,177,27.5,23.5,33.5
2021-07-29,177,28.1,24,33
2021-07-30,177,28.7,23.4,34
2021-07-31,177,28.8,25.4,34.3
2021-08-01,177,25.6,24.5,27.3
2021-08-02,177,25.6,23.6,29.1
2021-08-03,177,27,23.4,31.5
2021-08-04,177,28.1,23.3,32.9
2021-08-05,177,28.4,23.5,34.3
2021-08-06,177,26.9,23.1,33.3
2021-08-07,177,25.8,21.2,31.7
2021-08-08,177,26.4,22.1,31.4
2021-08-09,177,27.3,21.4,32.4
2021-08-10,177,27.1,22.9,32.2
2021-08-11,177,26.1,22.3,32.2
2021-08-12,177,26.2,21.8,31.8
2021-08-13,177,25.6,21.9,29
2021-08-14,177,25.4,23,29.3
2021-08-15,177,26.1,20.7,31.7
2021-08-16,177,25.6,20.7,30.2
2021-08-17,177,25.2,21.4,30.4
2021-08-18,177,24.6,20,30.1
2021-08-19,177,24.3,20.1,30.5
2021-08-20,177,24.1,19.6,30.6
2021-08-21,177,24.3,22.1,28.2
2021-08-22,177,24.8,21.5,28.4
2021-08-23,177,21.9,20.7,23.6
2021-08-24,177,24.8,21.2,29.1
2021-08-25,177,23.2,21.7,25.5
2021-08-26,177,24.8,21.4,27.3
2021-08-27,177,21.2,18.4,25
2021-08-28,177,22.2,18.3,25.9
2021-08-29,177,21.7,18.4,26.1
2021-08-30,177,22.6,19.8,25.3
2021-08-31,177,22.3,19.4,25.9
2021-09-01,177,22.5,21.4,25.3
2021-09-02,177,23,20.6,26.6
2021-09-03,177,23,18.5,28.3
2021-09-04,177,22,17.1,27.1
2021-09-05,177,21.4,18.2,24.2
2021-09-06,177,20.3,18.2,23.6
2021-09-07,177,21.4,18.9,25.5
2021-09-08,177,21.9,17.3,27.1
2021-09-09,177,21.9,15.8,29
2021-09-10,177,22.9,18.2,28.3
2021-09-11,177,23.2,18.8,29.6
2021-09-12,177,22.9,18,28.5
2021-09-13,177,23.3,18.2,28.6
2021-09-14,177,21.8,18.1,26
2021-09-15,177,21.9,16.2,28.4
2021-09-16,177,21.6,15.8,26.8
2021-09-17,177,20.4,17.7,23.3
2021-09-18,177,21.3,15.1,27.4
2021-09-19,177,22.2,16.7,28.6
2021-09-20,177,22.8,16.9,27.4
2021-09-21,177,22.8,20.2,26.2
2021-09-22,177,21.9,18.1,26.2
2021-09-23,177,20.8,15.6,25.6
2021-09-24,177,19.7,13.4,25.9
2021-09-25,177,20,15.4,23.1
2021-09-26,177,20.6,16.5,25.1
2021-09-27,177,21.5,17.1,26.4
2021-09-28,177,20.7,19.1,24.1
2021-09-29,177,21,18,23.2
2021-09-30,177,19.4,15.4,26.2
2021-10-01,177,20.5,14.6,27.8
2021-10-02,177,20.6,15.5,27.1
2021-10-03,177,21.6,14.7,29.9
2021-10-04,177,23.9,16,27.5
2021-10-05,177,23.5,20.6,27.1
2021-10-06,177,22.7,19.2,27
2021-10-07,177,20.4,18,22.8
2021-10-08,177,19.4,17.5,21.4
2021-10-09,177,22.1,18.8,26.6
2021-10-10,177,20.6,15.9,26.6
2021-10-11,177,16.4,13.4,19.5
2021-10-12,177,16.6,15.7,17.4
2021-10-13,177,18.8,14.7,25
2021-10-14,177,18.7,13.4,24.1
2021-10-15,177,18.4,16.1,21.3
2021-10-16,177,12.2,6.1,17.4
2021-10-17,177,5.7,1.1,11.4
2021-10-18,177,9.8,0.8,17
2021-10-19,177,11.4,5.4,16.1
2021-10-20,177,8.5,2,15.9
2021-10-21,177,8.4,1,15.6
2021-10-22,177,9.1,2.2,16.8
2021-10-23,177,9.9,1.7,19.4
2021-10-24,177,9.8,2.9,18.2
2021-10-25,177,10.1,3,17.8
2021-10-26,177,12,4.5,19.1
2021-10-27,177,12.6,6.9,18.3
2021-10-28,177,10.4,3.5,18.8
2021-10-29,177,11.8,4.3,20.6
2021-10-30,177,12.2,6.9,20.2
2021-10-31,177,12.9,6.3,20.5
